"payment_id";"policy_id";"amount";"payment_date";"payment_method";"currency"
1;1;8500.0;"2023-01-10 10:15:00";"CreditCard";"INR"
2;2;10500.0;"2023-01-12 11:20:00";"DebitCard";"INR"
3;3;9200.0;"2023-01-15 09:45:00";"BankTransfer";"INR"
4;4;11000.0;"2023-01-18 14:30:00";"CreditCard";"INR"
5;5;12800.0;"2023-01-20 10:05:00";"Cash";"INR"
6;6;7600.0;"2023-01-22 13:20:00";"CreditCard";"INR"
7;7;10200.0;"2023-01-25 16:00:00";"DebitCard";"INR"
8;8;9700.0;"2023-01-27 11:10:00";"BankTransfer";"INR"
9;9;8300.0;"2023-01-30 10:40:00";"Cash";"INR"
10;10;11100.0;"2023-02-02 09:55:00";"CreditCard";"INR"
11;11;8700.0;"2023-02-05 11:25:00";"DebitCard";"INR"
12;12;9400.0;"2023-02-06 12:40:00";"BankTransfer";"INR"
13;13;9800.0;"2023-02-07 10:05:00";"Cash";"INR"
14;14;12000.0;"2023-02-08 15:00:00";"CreditCard";"INR"
15;15;13500.0;"2023-02-09 09:50:00";"DebitCard";"INR"
16;16;9500.0;"2023-02-10 13:05:00";"BankTransfer";"INR"
17;17;10750.0;"2023-02-11 11:15:00";"CreditCard";"INR"
18;18;8700.0;"2023-02-12 10:30:00";"Cash";"INR"
19;19;11200.0;"2023-02-13 14:50:00";"DebitCard";"INR"
20;20;10100.0;"2023-02-14 16:20:00";"BankTransfer";"INR"
21;21;7500.0;"2023-02-15 09:25:00";"CreditCard";"INR"
22;22;8700.0;"2023-02-16 10:05:00";"Cash";"INR"
23;23;11250.0;"2023-02-17 13:15:00";"DebitCard";"INR"
24;24;8900.0;"2023-02-18 12:10:00";"BankTransfer";"INR"
25;25;9600.0;"2023-02-19 11:45:00";"CreditCard";"INR"
26;26;11500.0;"2023-02-20 15:35:00";"DebitCard";"INR"
27;27;10900.0;"2023-02-21 10:20:00";"BankTransfer";"INR"
28;28;10250.0;"2023-02-22 14:30:00";"Cash";"INR"
29;29;11800.0;"2023-02-23 16:10:00";"CreditCard";"INR"
30;30;8800.0;"2023-02-24 09:40:00";"DebitCard";"INR"
