"policy_id";"policy_number";"customer_id";"vehicle_id";"broker_id";"start_date";"end_date";"premium_amount";"status"
1;"POL2023MH0001";1;1;11;"2023-01-10";"2024-01-09";8500.0;"Active"
2;"POL2023DL0002";2;2;12;"2023-01-12";"2024-01-11";10500.0;"Active"
3;"POL2023MH0003";3;3;13;"2023-01-15";"2024-01-14";9200.0;"Active"
4;"POL2023TS0004";4;4;14;"2023-01-18";"2024-01-17";11000.0;"Cancelled"
5;"POL2023UP0005";5;5;15;"2023-01-20";"2024-01-19";12800.0;"Active"
6;"POL2023KL0006";6;6;11;"2023-01-22";"2024-01-21";7600.0;"Active"
7;"POL2023RJ0007";7;7;12;"2023-01-25";"2024-01-24";10200.0;"Active"
8;"POL2023MH0008";8;8;13;"2023-01-27";"2024-01-26";9700.0;"Active"
9;"POL2023WB0009";9;9;14;"2023-01-30";"2024-01-29";8300.0;"Active"
10;"POL2023TN0010";10;10;15;"2023-02-02";"2024-02-01";11100.0;"Active"
11;"POL2023BR0011";11;11;11;"2023-02-05";"2024-02-04";8700.0;"Active"
12;"POL2023WB0012";12;12;12;"2023-02-06";"2024-02-05";9400.0;"Active"
13;"POL2023UP0013";13;13;13;"2023-02-07";"2024-02-06";9800.0;"Active"
14;"POL2023TN0014";14;14;14;"2023-02-08";"2024-02-07";12000.0;"Active"
15;"POL2023KA0015";15;15;15;"2023-02-09";"2024-02-08";13500.0;"Active"
16;"POL2023GJ0016";16;16;11;"2023-02-10";"2024-02-09";9500.0;"Active"
17;"POL2023DL0017";17;17;12;"2023-02-11";"2024-02-10";10750.0;"Active"
18;"POL2023UP0018";18;18;13;"2023-02-12";"2024-02-11";8700.0;"Active"
19;"POL2023CH0019";19;19;14;"2023-02-13";"2024-02-12";11200.0;"Active"
20;"POL2023GJ0020";20;20;15;"2023-02-14";"2024-02-13";10100.0;"Active"
21;"POL2023WB0021";21;21;11;"2023-02-15";"2024-02-14";7500.0;"Expired"
22;"POL2023KL0022";22;22;12;"2023-02-16";"2024-02-15";8700.0;"Expired"
23;"POL2023MH0023";23;23;13;"2023-02-17";"2024-02-16";11250.0;"Active"
24;"POL2023DL0024";24;24;14;"2023-02-18";"2024-02-17";8900.0;"Cancelled"
25;"POL2023TS0025";25;25;15;"2023-02-19";"2024-02-18";9600.0;"Active"
26;"POL2023CH0026";26;26;11;"2023-02-20";"2024-02-19";11500.0;"Active"
27;"POL2023MH0027";27;27;12;"2023-02-21";"2024-02-20";10900.0;"Active"
28;"POL2023DL0028";28;28;13;"2023-02-22";"2024-02-21";10250.0;"Active"
29;"POL2023GJ0029";29;29;14;"2023-02-23";"2024-02-22";11800.0;"Active"
30;"POL2023TS0030";30;30;15;"2023-02-24";"2024-02-23";8800.0;"Active"
