"quote_id";"customer_id";"vehicle_id";"quote_date";"coverage_type";"estimated_premium"
1;1;1;"2023-01-05 00:00:00";"Comprehensive";8400.0
2;2;2;"2023-01-08 00:00:00";"Comprehensive";10300.0
3;3;3;"2023-01-10 00:00:00";"ThirdParty";9100.0
4;4;4;"2023-01-14 00:00:00";"Comprehensive";10800.0
5;5;5;"2023-01-16 00:00:00";"Comprehensive";12600.0
6;6;6;"2023-01-19 00:00:00";"ThirdParty";7400.0
7;7;7;"2023-01-21 00:00:00";"Comprehensive";10000.0
8;8;8;"2023-01-24 00:00:00";"ThirdParty";9500.0
9;9;9;"2023-01-26 00:00:00";"Comprehensive";8200.0
10;10;10;"2023-01-29 00:00:00";"Comprehensive";11000.0
11;11;11;"2023-02-01 00:00:00";"ThirdParty";8600.0
12;12;12;"2023-02-02 00:00:00";"Comprehensive";9300.0
13;13;13;"2023-02-03 00:00:00";"ThirdParty";9700.0
14;14;14;"2023-02-04 00:00:00";"Comprehensive";11800.0
15;15;15;"2023-02-05 00:00:00";"Comprehensive";13300.0
16;16;16;"2023-02-06 00:00:00";"ThirdParty";9400.0
17;17;17;"2023-02-07 00:00:00";"Comprehensive";10500.0
18;18;18;"2023-02-08 00:00:00";"Comprehensive";8500.0
19;19;19;"2023-02-09 00:00:00";"ThirdParty";11000.0
20;20;20;"2023-02-10 00:00:00";"Comprehensive";9900.0
21;21;21;"2023-02-11 00:00:00";"ThirdParty";7300.0
22;22;22;"2023-02-12 00:00:00";"Comprehensive";8600.0
23;23;23;"2023-02-13 00:00:00";"Comprehensive";11100.0
24;24;24;"2023-02-14 00:00:00";"ThirdParty";8700.0
25;25;25;"2023-02-15 00:00:00";"Comprehensive";9400.0
26;26;26;"2023-02-16 00:00:00";"Comprehensive";11300.0
27;27;27;"2023-02-17 00:00:00";"Comprehensive";10800.0
28;28;28;"2023-02-18 00:00:00";"ThirdParty";9900.0
29;29;29;"2023-02-19 00:00:00";"Comprehensive";11500.0
30;30;30;"2023-02-20 00:00:00";"Comprehensive";8700.0
