"vehicle_id";"customer_id";"registration_no";"make";"model";"year";"chassis_no"
1;1;"KA01AB1234";"Maruti Suzuki";"Swift";"2020";"CHS1234001"
2;2;"DL05CD4321";"Hyundai";"Creta";"2021";"CHS1234002"
3;3;"MH12EF5678";"Tata";"Nexon";"2019";"CHS1234003"
4;4;"TS09GH6789";"Honda";"City";"2020";"CHS1234004"
5;5;"UP32IJ8765";"Toyota";"Innova Crysta";"2018";"CHS1234005"
6;6;"KL07KL2345";"Renault";"Kwid";"2021";"CHS1234006"
7;7;"RJ14LM6543";"Mahindra";"XUV500";"2019";"CHS1234007"
8;8;"MH14NO4321";"Hyundai";"Venue";"2020";"CHS1234008"
9;9;"WB02PQ5432";"Honda";"Amaze";"2022";"CHS1234009"
10;10;"TN09RS7890";"Ford";"Ecosport";"2021";"CHS1234010"
11;11;"BR01TT1122";"Tata";"Altroz";"2020";"CHS1234011"
12;12;"WB10UU9988";"Maruti Suzuki";"Baleno";"2021";"CHS1234012"
13;13;"UP16VV8877";"Hyundai";"i20";"2020";"CHS1234013"
14;14;"TN02WW7766";"Toyota";"Yaris";"2019";"CHS1234014"
15;15;"KA03XX6655";"Kia";"Seltos";"2021";"CHS1234015"
16;16;"GJ06YY5544";"Mahindra";"Scorpio";"2020";"CHS1234016"
17;17;"DL01ZZ4433";"Honda";"WR-V";"2019";"CHS1234017"
18;18;"UP32AA3322";"Ford";"Aspire";"2020";"CHS1234018"
19;19;"CH01BB2211";"Tata";"Harrier";"2021";"CHS1234019"
20;20;"GJ01CC1100";"Hyundai";"Verna";"2021";"CHS1234020"
21;21;"WB08DD2233";"Maruti Suzuki";"Dzire";"2019";"CHS1234021"
22;22;"KL11EE3344";"Toyota";"Glanza";"2022";"CHS1234022"
23;23;"MH01FF4455";"Hyundai";"Aura";"2020";"CHS1234023"
24;24;"DL04GG5566";"Tata";"Tiago";"2021";"CHS1234024"
25;25;"TS07HH6677";"Maruti Suzuki";"Celerio";"2020";"CHS1234025"
26;26;"CH04II7788";"Mahindra";"Thar";"2021";"CHS1234026"
27;27;"MH02JJ8899";"Honda";"Jazz";"2020";"CHS1234027"
28;28;"DL07KK9900";"Kia";"Carens";"2022";"CHS1234028"
29;29;"GJ05LL1010";"Toyota";"Camry";"2021";"CHS1234029"
30;30;"TS10MM2020";"Hyundai";"i10 Grand";"2020";"CHS1234030"
